CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
395812,1,210,201,2217,2217,201,3,176,22,4832,2217
396287,2,133,4,6,6,205,3,180,22,4828,2223
984985,3,352,238,2395,2529,443,39,369,35,4590,4618
985000,4,5,0,1,1,443,39,369,35,4590,4619
3451012,5,1148,726,3233,3648,1169,312,813,44,3864,7852
3847588,6,212,12,2016,2411,1181,313,824,44,3852,9868
4889625,7,417,14,2108,2765,1195,319,831,45,3838,11976
5493418,8,322,17,2033,2448,1212,329,838,45,3821,14009
6331451,9,286,4,1964,2328,1216,332,839,45,3817,15973
7003399,10,313,9,2008,2433,1225,339,840,46,3808,17981
7905701,11,400,6,1993,2490,1231,345,840,46,3802,19974
8978484,12,330,7,2056,2587,1238,346,845,47,3795,22030
9704531,13,312,16,2004,2456,1254,356,849,49,3779,24034
14415102,14,1947,537,3086,4128,1791,585,1143,63,3242,27120
15122150,15,447,2,2033,2742,1793,587,1143,63,3240,29153
18983747,16,2008,44,2605,4233,1837,628,1146,63,3196,31758
20466962,17,988,35,2258,3466,1872,637,1172,63,3161,34016
21017308,18,360,7,1968,2638,1879,638,1176,65,3154,35984
21554855,19,322,1,1939,2538,1880,638,1176,66,3153,37923
21555503,20,72,0,12,13,1880,638,1176,66,3153,37935
21555891,21,115,0,4,28,1880,638,1176,66,3153,37939
22183573,22,395,4,2012,2768,1884,638,1178,68,3149,39951
22757182,23,361,11,1972,2680,1895,638,1188,69,3138,41923
23253015,24,283,2,1895,2342,1897,639,1188,70,3136,43818
23793869,25,315,9,1947,2448,1906,640,1195,71,3127,45765
23794594,26,131,0,4,18,1906,640,1195,71,3127,45769
23794717,27,100,1,1,5,1907,640,1196,71,3126,45770
23795021,28,5,2,17,19,1909,642,1196,71,3124,45787
24380071,29,310,3,1899,2408,1912,643,1197,72,3121,47686
25363313,30,356,9,1978,2717,1921,649,1198,74,3112,49664
25363318,31,0,0,0,0,1921,649,1198,74,3112,49664
29128749,32,1676,30,2565,4154,1951,673,1201,77,3082,52229
29774746,33,367,208,1965,2604,2159,880,1201,78,2874,54194
30181681,34,257,18,1794,2682,2177,891,1208,78,2856,55988
30182642,35,8,3,25,28,2180,892,1208,80,2853,56013
30982144,36,502,7,1851,2821,2187,896,1210,81,2846,57864
30982537,37,67,4,26,29,2191,898,1212,81,2842,57890
31565251,38,373,7,1813,2920,2198,902,1215,81,2835,59703
32148852,39,323,2,1786,2784,2200,903,1215,82,2833,61489
32369904,40,142,4,1702,2477,2204,905,1217,82,2829,63191
33010114,41,383,16,1824,2925,2220,910,1227,83,2813,65015
33425085,42,294,1,1645,2219,2221,910,1227,84,2812,66660
34055173,43,437,9,1815,2917,2230,914,1231,85,2803,68475
34575278,44,441,2,1751,2668,2232,915,1231,86,2801,70226
35209866,45,560,20,1809,2871,2252,925,1240,87,2781,72035
35768321,46,369,4,1793,2833,2256,928,1240,88,2777,73828
36216254,47,289,5,1714,2509,2261,930,1242,89,2772,75542
36673042,48,294,3,1709,2440,2264,931,1243,90,2769,77251
37191077,49,320,8,1768,2765,2272,934,1247,91,2761,79019
37437332,50,150,17,1777,2511,2289,934,1262,93,2744,80796
37865035,51,275,1,1661,2317,2290,935,1262,93,2743,82457
37865036,52,124,0,0,14,2290,935,1262,93,2743,82457
37865036,53,95,0,0,8,2290,935,1262,93,2743,82457
38077244,54,145,40,1742,2485,2330,972,1264,94,2703,84199
38259195,55,132,6,1656,2340,2336,977,1265,94,2697,85855
38726673,56,299,10,1724,2452,2346,979,1272,95,2687,87579
38727189,57,6,1,17,22,2347,979,1272,96,2686,87596
38728938,58,150,5,15,38,2352,984,1272,96,2681,87611
38729166,59,23,0,6,10,2352,984,1272,96,2681,87617
38729190,60,0,1,1,4,2353,985,1272,96,2680,87618
38729230,61,7,1,2,5,2354,986,1272,96,2679,87620
39198895,62,343,11,1693,2428,2365,989,1279,97,2668,89313
39680253,63,294,31,1734,2514,2396,997,1301,98,2637,91047
40256792,64,346,16,1810,2955,2412,1008,1305,99,2621,92857
40730301,65,300,20,1684,2437,2432,1017,1315,100,2601,94541
41198719,66,306,15,1680,2435,2447,1022,1325,100,2586,96221
41717750,67,346,31,1764,2638,2478,1043,1334,101,2555,97985
42135993,68,281,2,1642,2321,2480,1043,1335,102,2553,99627
42607098,69,307,34,1708,2500,2514,1058,1353,103,2519,101335
43027827,70,277,2,1640,2317,2516,1059,1353,104,2517,102975
43528593,71,351,2,1737,2702,2518,1060,1353,105,2515,104712
43528742,72,6,0,9,13,2518,1060,1353,105,2515,104721
43978616,73,295,2,1632,2333,2520,1061,1353,106,2513,106353
46738217,74,1401,29,2224,4133,2549,1079,1364,106,2484,108577
47170458,75,340,1,1646,2411,2550,1079,1364,107,2483,110223
47171003,76,27,2,12,24,2552,1081,1364,107,2481,110235
47873818,77,451,17,1910,3214,2569,1092,1369,108,2464,112145
47878548,78,127,8,51,175,2577,1100,1369,108,2456,112196
